Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Ceiling Ht,Owner Contact
4408-4418 W Hundred Rd,Chester Village Shopping Center,Retail (Strip Center),3,,,B,Existing,26861,16000,$16.00,Storefront,Richmond,South Chesterfield,James Blackburn,James Blackburn,Southwest,Chester,VA,23831,Chesterfield,,,,N,8/20/2020,"2,200,000",100.00,1962,,26861,4.91,Multi,12/18/2012,51041C0327D,51041C,0327D,No,100-year and 500-year Floodplain,,Steven Biegler
6315-6359 Jahnke Rd,Parkway Shopping Center,Retail (Neighborhood Center),3,,,C,Existing,72000,8816,$18.00,,Richmond,Midlothian E/Hull St,Partner Commercial,Yasmine Hamad,Southwest,Richmond,VA,23225,Richmond City,,,,N,2/25/2016,"3,575,000",87.76,1979,,65117,5.23,Multi,12/18/2012,51041C0045D,510129,0045D,No,100-year and 500-year Floodplain,,Hunt Whitehead
9 Jefferson Davis Hwy,,Retail,3,,,B,Existing,1120,1120,$42.86,Fast Food,Richmond,Jeff Davis Corridor,Partner Commercial,Yasmine Hamad,Southwest,Richmond,VA,23224,Richmond City,,,,N,8/8/2018,"330,000",0.00,1985,,1120,10.00,Single,07/16/2014,5101290039D,510129,0039D,No,100-year and 500-year Floodplain,,Riyad Mahasees
12540 Jefferson Davis Hwy,Shoppes at Breckenridge,Retail (Strip Center),3,,,B,Existing,12900,2658,$29.00,,Richmond,South Chesterfield,Cushman & Wakefield | Thalhimer,Connie Nielsen,Southwest,Chester,VA,23831,Chesterfield,,,,N,,,100.00,2007,,12900,8.13,Multi,12/18/2012,51041C0335D,51041C,0335D,No,100-year and 500-year Floodplain,,
1221-1257 N Laburnum Ave,Dominion Village,Retail (Strip Center),3,,,C,Existing,10000,2000,$22.50 - 26.00,Freestanding,Richmond,Laburnum/Rte 360,Highgate Realty Advisors,Jon Beckner,Northeast,Richmond,VA,23223,Henrico,,,,N,,,80.00,2004,,10000,5.30,Multi,12/02/2008,51085C0440B,51087C,0440B,No,100-year and 500-year Floodplain,,
4320-4368 S Laburnum Ave,Laburnum Park Shopping Center,Retail (Neighborhood Center),3,,,C,Existing,52160,18400,$20.00,,Richmond,East End,Taylor Long Properties Inc.,Ellen Long,Southeast,Richmond,VA,23231,Henrico,,,,N,3/29/2017,"7,300,000",96.17,1988,,52160,12.81,Multi,12/02/2008,51085C0440B,51087C,0440B,No,100-year and 500-year Floodplain,,Neil Markus
11657 Lakeridge Pky,Winding Brook II,Retail (Strip Center),3,,,B,Existing,11300,1680,$24.00,,Richmond,I-95 Ashland/NW,Coldwell Banker Commercial Brooks Real Estate,David Burks,Northwest,Ashland,VA,23005-8189,Hanover,,,,N,2/22/2019,"3,775,000",85.13,2013,,11300,7.52,Multi,12/02/2008,51085C0305B,51085C,0305B,No,100-year and 500-year Floodplain,,Meghna Mehta
1300 Mactavish Ave,Riverside PACE,Retail,2,,,C,Existing,45000,72500,$19.00,Freestanding,Richmond,Near West End,Cushman & Wakefield | Thalhimer,Amy Broderick,Northwest,Richmond,VA,23230-4633,Richmond City,,,,N,7/29/2021,"8,190,243",0.00,1940,,45000,1.87,Multi,04/02/2009,5101290028D,510129,0028D,No,100-year and 500-year Floodplain,,Maxwell Joseph
1114 E Main St,Vogue Flowers Building,Retail,3,,,C,Existing,7500,7500,$18.00,Storefront Retail/Office,Richmond,Downtown,"Porter Realty Company, Inc.",Wilson Flohr,Downtown,Richmond,VA,23219,Richmond City,"Porter Realty Company, Inc.",Wilson Flohr,,Y,12/18/2012,"320,000",0.00,1870,,2500,,Multi,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,Steve Papoulakos
3650-3656 Mayland Ct,South River Plaza,Retail,3,,,B,Existing,13000,3334,$20.00,Storefront Retail/Office,Richmond,Broad St Corridor,"Divaris Real Estate, Inc.",Cheryle Toy,Northwest,Richmond,VA,23233,Henrico,,,,N,,,100.00,2007,,13000,5.00,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,,Jon Keller
3000-3002 Mechanicsville Tpke,Rose's Department Store,Retail (Neighborhood Center),2,,,C,Existing,110000,18000,$12.00,Freestanding,Richmond,Laburnum/Rte 360,"Crenshaw Realty Company, Inc.",Hatcher Crenshaw,Northeast,Richmond,VA,23223-1829,Henrico,,,,N,,,83.64,1963,,110000,,Multi,04/02/2009,5101290033D,51087C,0033D,No,100-year and 500-year Floodplain,,Hatcher Crenshaw
7262 Mechanicsville Tpke,,Retail,3,,,,Existing,4000,1000,$33.00,Storefront,Richmond,Mechanicsville,Commonwealth Commercial Partners,Michael Morris,Northeast,Mechanicsville,VA,23111-3501,Hanover,,,,N,,,75.00,1900,,4000,10.50,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,
7415-7475 Midlothian Tpke,Chippenham Square,Retail (Community Center),3,,,B,Existing,169194,3200,$15.00,,Richmond,Midlothian E/Hull St,Partner Commercial,Yasmine Hamad,Southwest,North Chesterfield,VA,23225-6411,Chesterfield,,,18000000,Y,7/18/2007,"6,400,000",100.00,1982,,169194,3.47,Multi,12/18/2012,51041C0131D,51041C,0131D,No,100-year and 500-year Floodplain,, Lee
10401-10461 Midlothian Tpke,Pocono Green Shopping Center,Retail (Strip Center),3,,,C,Existing,44371,11720,$18.00,,Richmond,Midlothian West,Taylor Long Properties Inc.,Rebecca von Meister,Southwest,Richmond,VA,23235-4407,Chesterfield,,,,N,,,73.59,1986,,44371,2.43,Multi,12/18/2012,51041C0040D,51041C,0040D,Yes,100-year Floodplain,"12'0""",Alice Tang
11655 Midlothian Tpke,,Retail,2,,,B,Existing,6500,3961,$18.00 - 25.00,Storefront Retail/Office,Richmond,Midlothian West,,,Southwest,Midlothian,VA,23113-2612,Chesterfield,,,,N,2/28/2019,"795,000",100.00,1982,2021,3250,5.69,Single,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,Yunhee Kwak
14101-14257 Midlothian Tpke,,Retail (Neighborhood Center),3,,,B,Existing,169173,5931,$28.00,Storefront,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,George Stuckey,Southwest,Midlothian,VA,23113-6523,Chesterfield,,,,N,,,96.49,1990,,169173,4.14,Multi,12/18/2012,51041C0020D,51041C,0020D,No,100-year and 500-year Floodplain,"10'0""",Donald Morrissette
4869-4919 Nine Mile Rd,,Retail (Community Center),3,,,B,Existing,20000,3109,$25.00,,Richmond,East End,Cushman & Wakefield | Thalhimer,Richard Thalhimer,Southeast,Richmond,VA,23223-5741,Henrico,,,,N,,,84.46,2017,,,,,12/02/2008,51085C0440B,51087C,0440B,No,100-year and 500-year Floodplain,,John Lampe
2925 North Ave,,Retail,2,,,C,Existing,2976,2976,$16.00,Storefront Retail/Office,Richmond,Laburnum/Rte 360,,,Northeast,Richmond,VA,23222,Richmond City,Joyner Commercial,Todd Buttner,449000,N,,,100.00,1926,,1488,,Multi,04/02/2009,5101290033D,510129,0033D,No,100-year and 500-year Floodplain,,Grover Willingham
3806 Oaklawn Blvd Ave,Ashland Point Plaza,Retail (Strip Center),3,,,B,Existing,10000,2875,$16.00,Storefront Retail/Office,Richmond,Hopewell,Dominion Commercial,Nathan Jones,TriCities,Hopewell,VA,23860,Hopewell City,,,,N,,,71.25,2011,,10000,4.80,Multi,06/02/2015,51149C0040C,510080,0040C,No,100-year and 500-year Floodplain,,Joyce Maxwell
3401-3423 Old Parham Rd,Old Parham Center,Retail (Strip Center),2,,,C,Existing,18421,2910,$17.00,Storefront,Richmond,Broad St Corridor,Commonwealth Commercial Partners,Michael Morris,Northwest,Henrico,VA,23294-4117,Henrico,,,,N,,,84.20,1992,,18421,4.16,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,
5600-5614 Patterson Ave,Post Office Square,Retail (Strip Center),2,,,C,Existing,16166,2866,$10.00 - 16.00,Freestanding,Richmond,Willowlawn,Cushman & Wakefield | Thalhimer,James Ashby,Northwest,Richmond,VA,23226,Richmond City,,,,N,,,86.81,1950,2009,16166,3.65,Multi,12/18/2012,51041C0050D,510129,0050D,No,100-year and 500-year Floodplain,,Rejena Carreras
5609 Patterson Ave,,Retail,2,,,C,Existing,7918,3322,$27.00,Storefront Retail/Office,Richmond,Willowlawn,Cushman & Wakefield | Thalhimer,Nicki Jassy,Northwest,Richmond,VA,23226,Richmond City,,,,N,2/24/2022,"2,800,000",58.04,1979,,3761,2.27,Multi,12/18/2012,51041C0050D,510129,0050D,No,100-year and 500-year Floodplain,,
9020 Quioccasin Rd,Colonial Plaza,Retail (Strip Center),3,,,B,Existing,10328,1200,$12.00,,Richmond,Regency,Richmond Realty Company,Mark Wilson,Northwest,Richmond,VA,23229,Henrico,,,,N,,,100.00,1987,,10328,3.94,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,Brett Havens
405-445 N Ridge Rd,Tuckahoe Shopping Center,Retail (Neighborhood Center),2,,,C,Existing,37421,2200,$25.00,,Richmond,Regency,Commonwealth Commercial Partners,Michael Morris,Northwest,Richmond,VA,23229,Henrico,,,,N,,,94.12,1960,,37421,3.93,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,Hubel Robins
10426-10494 Ridgefield Pky,,Retail (Neighborhood Center),3,,,B,Existing,102511,9958,$12.00 - 16.00,Storefront,Richmond,Far West End South,Cushman & Wakefield | Thalhimer,Reilly Marchant,Northwest,Richmond,VA,23233-3544,Henrico,,,,N,,,90.29,1992,,102511,5.06,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,Willis Blackwood
13349 Rittenhouse Dr,The Village at Swift Creek Phase II,Retail (Power Center),3,,,B,Existing,100000,6200,$25.00,Storefront,Richmond,Swift Creek,Cushman & Wakefield | Thalhimer,Connie Nielsen,Southwest,Midlothian,VA,23112-6225,Chesterfield,,,,N,,,93.80,2009,,100000,0.00,Multi,12/18/2012,51041C0117D,51041C,0117D,No,100-year and 500-year Floodplain,,Michael Markman
305-333 Schofield Dr,,Retail (Power Center),3,,,B,Existing,15920,1990,$25.00,Freestanding,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,Alex Wotring,Southwest,Midlothian,VA,23113-7331,Chesterfield,,,,N,,,100.00,2009,,15920,,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
12026-12050 Southshore Pointe Dr,,Retail (Neighborhood Center),3,,,C,Existing,20150,2310,$21.00,Retail Building,Richmond,Swift Creek,Cushman & Wakefield | Thalhimer,Alicia Brown,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,8/4/2016,"3,437,313",95.09,2006,,20150,3.37,Multi,12/18/2012,51041C0120D,51041C,0120D,No,100-year and 500-year Floodplain,,
7103-7111 Staples Mill Rd,,Retail (Neighborhood Center),3,,,B,Existing,8324,2900,$20.00,Freestanding,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,James Ashby,Northwest,Richmond,VA,23228,Henrico,,,,N,,,65.16,1973,,8324,8.41,Multi,04/02/2009,5101290026D,51087C,0026D,No,100-year and 500-year Floodplain,,
7115-7129 Staples Mill Rd,,Retail (Neighborhood Center),2,,,C,Existing,58996,6700,$16.00,,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,James Ashby,Northwest,Richmond,VA,23228,Henrico,,,,N,,,88.64,1973,1987,58996,4.66,Multi,04/02/2009,5101290026D,51087C,0026D,No,100-year and 500-year Floodplain,,Marianne Metzger
8800 Staples Mill Rd,East Parham Place,Retail (Strip Center),3,,,B,Existing,12630,1960,$30.00,Storefront Retail/Office,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,Connie Nielsen,Northwest,Richmond,VA,23228,Henrico,,,,N,6/17/2015,"5,725,000",84.48,2008,,12630,,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,
7183-7235 Stonewall Pky,Cold Harbor Business Center,Retail (Neighborhood Center),3,,,B,Existing,55586,8450,$8.00,Storefront,Richmond,Mechanicsville,Drucker + Falk,Mac Houtz,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,,,84.80,1975,,55586,5.52,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,Wendy Drucker
1955 Sycamore St S,,Retail (Strip Center),2,,,C,Existing,8600,300,$88.00,Bank,Richmond,Petersburg,"Specter Properties, Inc.",Mark Specter,TriCities,Petersburg,VA,23805-2728,Petersburg,,,,N,,,100.00,1958,,8600,0.93,,12/18/2012,51041C0435D,510112,0435D,No,100-year and 500-year Floodplain,,
7001-7035 Three Chopt Rd,The Village Shopping Center,Retail (Neighborhood Center),3,,,B,Existing,67604,18420,$30.00 - 32.00,,Richmond,Regency,Cushman & Wakefield | Thalhimer,James Ashby,Northwest,Richmond,VA,23226,Henrico,,,,N,,,87.90,1961,2006,67604,4.58,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,Alex Nyhan
8801g-8801n Three Chopt Rd,Building II,Retail (Neighborhood Center),2,,,C,Existing,6650,1375,$25.00,,Richmond,Regency,Commonwealth Commercial Partners,Michael Morris,Northwest,Richmond,VA,23229,Henrico,,,,N,,,85.49,1956,,6650,4.51,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,
14722-14742 Village Square Pl,,Retail (Strip Center),3,,,B,Existing,21823,5652,$18.00,Storefront,Richmond,Swift Creek,Partner Commercial,Yasmine Hamad,Southwest,Midlothian,VA,23112-2253,Chesterfield,,,,N,7/1/2022,"2,250,000",79.84,2004,,21823,5.71,Multi,12/18/2012,51041C0116D,51041C,0116D,No,100-year and 500-year Floodplain,"9'0""",Atallah Mahases
250-278 N Washington Hwy,,Retail (Strip Center),2,,,C,Existing,12000,2966,$14.50,Storefront Retail/Office,Richmond,I-95 Ashland/NW,Taylor Long Properties Inc.,Rebecca von Meister,Northwest,Ashland,VA,23005-1624,Hanover,,,,N,,,100.00,,,8650,,Multi,03/02/2009,51033C0475C,51085C,0475C,No,100-year and 500-year Floodplain,,Sheila Tompkins
13541-13549 Waterford Pl,,Retail,3,,,B,Existing,6840,2400,$22.00,Freestanding,Richmond,Swift Creek,Commonwealth Commercial Partners,James McVey,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,,,64.91,2008,,6840,5.12,Multi,12/18/2012,51041C0109D,51041C,0109D,No,100-year and 500-year Floodplain,,Vincenzo Parlanti
15700 Wc Main St,Bldg 250,Retail (Power Center),4,,,B,Existing,16177,1800,$25.00,Freestanding,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,David Crawford,Southwest,Midlothian,VA,23113-7328,Chesterfield,,,,N,,,88.87,2009,,16177,3.09,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
15701 WC Main St,Bldg 300,Retail (Power Center),4,,,B,Existing,25947,4076,$25.00,Freestanding,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,Alex Wotring,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,92.25,2009,,25947,1.93,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
15752 WC Main St,bldg 200,Retail (Power Center),4,,,B,Existing,12880,5549,$25.00,Freestanding,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,David Crawford,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,56.92,2009,,12880,4.66,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
15800-15816 Wc Main St,Bldg 150,Retail (Power Center),4,,,B,Existing,13645,3745,$25.00,,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,David Crawford,Southwest,Midlothian,VA,23113-7330,Chesterfield,,,,N,,,72.55,2009,,13645,4.42,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
15809 WC Main St,Bldg 400,Retail (Power Center),4,,,B,Existing,20380,1890,$25.00,Freestanding,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,David Crawford,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,90.73,2009,,20380,2.91,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
1110-1126 Westbriar Dr,Tuckahoe Village Merchants Square,Retail (Strip Center),2,,,C,Existing,25820,1005,$14.00,Storefront Retail/Office,Richmond,Far West End South,The Wilton Companies,Doug Mallory,Northwest,Richmond,VA,23238-5014,Henrico,,,,N,,,98.01,1975,,25820,6.16,Multi,12/18/2012,51041C0050D,51087C,0050D,Yes,100-year Floodplain,,Richard Johnson
15500-15584 Westchester Commons Way,"Bldg 900, 950",Retail (Power Center),3,,,B,Existing,32167,4169,$25.00,,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,David Crawford,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,90.12,2009,,28760,,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,Michael Cooperman
Winterfield Rd,The Promenade at Winterfield Building B,Retail (Neighborhood Center),4,,,B,Existing,19212,8670,$38.00,,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,Annie O'Connor,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,54.87,2022,,9606,,,01/01/1900,,,,No,100-year and 500-year Floodplain,,Kevin South
Winterfield Rd,The Promenade at Winterfield Building A,Retail (Neighborhood Center),3,,,B,Existing,27735,8092,$38.00,,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,Annie O'Connor,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,70.82,2022,,27735,,,12/18/2012,51041C0020D,51041C,0020D,No,100-year and 500-year Floodplain,,Kevin South
400 Cavalier Sq,,Retail (Community Center),2,,,C,Existing,2816,2816,$17.75,Bank,Richmond,Hopewell,Cavalier Square Leasing Office,Susan Davis,TriCities,Hopewell,VA,23860,Hopewell City,,,,N,,,0.00,1974,,2816,,,01/01/1900,,,,No,100-year and 500-year Floodplain,,Robert Landsman
101 N 17th St,,Retail,2,,,C,Existing,4472,2124,$13.05 - 15.95 (Est.),Storefront Retail/Office,Richmond,Downtown,"Porter Realty Company, Inc.",Cliff Porter,Downtown,Richmond,VA,23219-3609,Richmond City,,,,N,,,52.50,1911,,2124,,Multi,07/16/2014,5101290041D,510129,0041D,Yes,100-year Floodplain,,
1355 Anderson Hwy,,Retail,3,,,B,Existing,17900,7400,$13.53 - 16.54 (Est.),Freestanding,Richmond,Powhatan,,,Powhatan,Powhatan,VA,23139,Powhatan,,,,N,,,100.00,2022,,8500,0.00,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
1331 N Arthur Ashe Blvd,Brass Foundry,Retail (Theme/Festival Center),3,,,B,Existing,5250,5250,$23.35 - 28.53 (Est.),,Richmond,Near West End,,,Northwest,Richmond,VA,23230-4521,Richmond City,,,,N,,,100.00,1907,2009,5250,10.00,Single,04/02/2009,5101290029D,510129,0029D,No,100-year and 500-year Floodplain,,Ben Moss
1101 Azalea Ave,Truist,Retail,3,,,C,Existing,2831,2831,$14.63 - 17.88 (Est.),Bank,Richmond,Laburnum/Rte 360,"Madison Marquette Real Estate Services, LLC",Julie Chase,Northeast,Richmond,VA,23227,Richmond City,,,,N,11/1/2021,,0.00,1970,,2831,12.36,Single,04/02/2009,5101290027D,510129,0027D,No,100-year and 500-year Floodplain,,
7290-7297 Battle Hill Dr,,Retail (Neighborhood Center),3,,,B,Existing,43214,30038,$21.96 - 26.84 (Est.),,Richmond,Mechanicsville,"The Shopping Center Group, LLC",Christina Mayhugh,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,8/5/2010,,30.49,2007,,43214,6.00,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,Alan Fox
7225 Bell Creek Rd,Hanover Square South,Retail (Community Center),3,,,B,Existing,69500,3100,$21.19 - 25.90 (Est.),Storefront,Richmond,Mechanicsville,Commonwealth Commercial Partners,Morgan Trible,Northeast,Mechanicsville,VA,23111-3505,Hanover,,,,N,9/28/2007,"17,200,000",97.84,2005,,69500,3.01,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,
7230 Bell Creek Rd,Hanover Square North,Retail (Neighborhood Center),3,,,A,Existing,73440,2400,$24.26 - 29.65 (Est.),Storefront,Richmond,Mechanicsville,Commonwealth Commercial Partners,James McVey,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,5/8/2018,"12,173,000",96.73,2007,,73440,3.61,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,William Elliott
7324-7384 Bell Creek Rd,Hanover Square,Retail (Community Center),3,,,B,Existing,129887,4786,$16.12 - 19.70 (Est.),,Richmond,Mechanicsville,Brixmor Property Group Inc.,Temma Weissman,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,6/28/2011,,99.09,1991,,129887,3.85,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,Mark Horgan
441-525 E Belt Blvd,Circle Shopping Center,Retail (Community Center),2,,,C,Existing,122629,89277,$11.70 - 14.29 (Est.),,Richmond,Midlothian E/Hull St,Colliers | Virginia,Robert Black,Southwest,Richmond,VA,23224-1703,Richmond City,,,,N,11/29/2016,,35.83,1975,,122629,5.76,Multi,01/01/1900,,,,No,100-year and 500-year Floodplain,,
906 Branchway Rd,,Retail (Neighborhood Center),2,,,C,Existing,3200,3200,$19.51 - 23.84 (Est.),Bank,Richmond,Midlothian West,Taylor Long Properties Inc.,Ellen Long,Southwest,Richmond,VA,23236,Chesterfield,,,,N,,,100.00,1991,,3200,,Single,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,Paul Rubis
5-7 E Broad St,,Retail,3,,,C,Existing,24000,18000,$15.71 - 19.21 (Est.),Storefront Retail/Office,Richmond,Downtown,Cushman & Wakefield | Thalhimer,Reilly Marchant,Downtown,Richmond,VA,23219-1731,Richmond City,,,,N,,,100.00,1910,,6000,2.44,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,William Pyliaris
10 E Broad St,,Retail,3,,,B,Existing,23377,2622,$15.62 - 19.09 (Est.),Storefront Retail/Office,Richmond,Downtown,,,Downtown,Richmond,VA,23219-1732,Richmond City,,,,N,10/26/2018,,88.78,1920,,5000,,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,J. Brian Chase
1710 E Broad St,Retail in Raven Place Apartments,Retail,2,,,B,Existing,40360,4599,$16.87 - 18.46 (Est.),Storefront Retail/Residential,Richmond,East End,Colliers | Virginia,Maddy Spear,Southeast,Richmond,VA,23223,Richmond City,,,,N,,,100.00,1910,2008,8879,,,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,
2500 E Broad St,Truist,Retail,3,,,C,Existing,9676,9676,$15.40 - 18.83 (Est.),Bank,Richmond,East End,Cushman & Wakefield | Thalhimer,David Crawford,Southeast,Richmond,VA,23223,Richmond City,,,,N,11/1/2021,,0.00,1909,,9676,1.24,Single,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,
925-941 W Broad St,933 W Broad St,Retail,4,,,A,Existing,89365,3400,$32.17 - 39.32 (Est.),Storefront Retail/Residential,Richmond,Near West End,Cushman & Wakefield | Thalhimer,Connie Nielsen,Northwest,Richmond,VA,23220,Richmond City,,,,N,2/10/2009,"13,303,000",96.20,2004,,17873,0.83,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,
3317 W Broad St,,Retail,2,,,C,Existing,9753,2352,$7.44 - 9.10 (Est.),Freestanding,Richmond,Near West End,Cushman & Wakefield | Thalhimer,Annie O'Connor,Northwest,Richmond,VA,23230,Richmond City,,,,N,8/3/2021,"765,000",75.88,1956,,4877,0.62,Multi,04/02/2009,5101290028D,510129,0028D,No,100-year and 500-year Floodplain,,Jacques Gits
3900 W Broad St,The Ella Apartments,Retail,4,,,A,Existing,17988,4401,$22.03 - 26.92 (Est.),Storefront Retail/Office,Richmond,Willowlawn,Colliers | Virginia,Peter Vick,Northwest,Richmond,VA,23230,Richmond City,,,,N,,,75.53,2021,,17988,0.00,Multi,04/02/2009,5101290028D,51087C,0028D,No,100-year and 500-year Floodplain,,Pete Kotarides
4501-4503 W Broad St,,Retail (Strip Center),2,,,C,Existing,6950,2500,$17.63 - 21.54 (Est.),Freestanding,Richmond,Willowlawn,Cushman & Wakefield | Thalhimer,Michael Shaia,Northwest,Richmond,VA,23230,Richmond City,,,,N,,,64.03,1955,,6950,2.87,Multi,04/02/2009,5101290028D,510129,0028D,No,100-year and 500-year Floodplain,,
5402-5488 W Broad St,Willow Place Shopping Center,Retail (Neighborhood Center),3,,,B,Existing,76782,18881,$18.37 - 22.46 (Est.),Freestanding,Richmond,Willowlawn,Cushman & Wakefield | Thalhimer,Connie Nielsen,Northwest,Richmond,VA,23230,Henrico,,,,N,,,97.66,1997,,76782,2.50,Multi,04/02/2009,5101290028D,51087C,0028D,No,500-year Floodplain,,Bradford Sauer
6291 W Broad St,O'Charley's Restaurant,Retail (Neighborhood Center),2,,,C,Existing,7062,7062,$18.25 - 22.30 (Est.),Restaurant,Richmond,Willowlawn,,,Northwest,Richmond,VA,23230-2204,Henrico,,,,N,6/13/2018,"1,442,800",0.00,2002,,7062,8.49,Single,12/18/2012,51041C0050D,51087C,0050D,Yes,100-year Floodplain,,Elliott Park
7801 W Broad St,Olde Towne Shopping Center,Retail (Neighborhood Center),3,,,C,Existing,91494,6400,$14.63 - 17.88 (Est.),Storefront,Richmond,Broad St Corridor,Colliers | Virginia,Robby Brownfield,Northwest,Richmond,VA,23294,Henrico,,,,N,,,93.01,1974,,91494,6.00,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,Alex Zikakis
8026-8032 W Broad St,Fountain Square,Retail (Neighborhood Center),3,,,B,Existing,89438,1800,$15.43 - 18.86 (Est.),Storefront,Richmond,Broad St Corridor,NAI Dominion,Jeffrey Doxey,Northwest,Richmond,VA,23294,Henrico,,,,N,,,97.99,1980,1997,89438,3.71,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,
8045-8099 W Broad St,Westland East,Retail (Community Center),2,,,C,Existing,93762,14720,$12.96 - 15.84 (Est.),Storefront,Richmond,Broad St Corridor,The Wilton Companies,Doug Mallory,Northwest,Richmond,VA,23294,Henrico,,,,N,,,86.03,1963,1994,93762,5.33,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,Richard Johnson
8904 W Broad St,Gold's Gym Plaza,Retail (Neighborhood Center),4,,,A,Existing,33854,500,$15.64 - 19.12 (Est.),Freestanding,Richmond,Broad St Corridor,"Divaris Real Estate, Inc.",Loretta Cataldi,Northwest,Richmond,VA,23294,Henrico,,,,N,4/1/2022,"3,156,827",98.52,1984,2002,16927,4.52,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,"14'0""",
